"datasetID";"supportID";"rexaID";"author";"title";"venue";"year";"window";"mykey"
1;"005EF4795950C394FE7E4B85969C64011F9FC4D5";"f7fdf9dbb5f98a218956025550c1f603b3cb24f2";"Alexander G. Gray and Bernd Fischer and Johann Schumann and Wray L. Buntine";"Automatic Derivation of Statistical Algorithms: The EM Family and Beyond";"NIPS";"2002";"extension of our running example, integrating several features, yields a Gaussian Bayes classifier model # # . # # has been successfully tested on various standard benchmarks [1], e.g., the <b>Abalone</b> dataset. Currently, the number of expected classes has to be given in advance. Mixture models and EM. A wide range of # -Gaussian mixture models can be handled by AUTOBAYES, ranging from the simple 1D ( # #";1
40;"007BBC1796239FF0E9C3507E864AA0E12F41F79A";"82cbfc464ed8d2bd0b91ffd1132022df16b7334d";"Wl/odzisl/aw Duch and Karol Grudzi nski and Grzegorz Stawski";"SYMBOLIC FEATURES IN NEURAL NETWORKS";"Department of Computer Methods, Nicolaus Copernicus University";"";"Both FSM network and k-NN algorithm achieved similar results (within statistical accuracy) on the raw data as on the converted data (the number of attributes did not change here). On the <b>Flags</b> dataset, containing 194 samples, 3 continuous and 25 symbolic attributes, 8 classes (majority rate 30.8%) and no missing values, 10-fold cross-validation tests were performed. Large improvement is observed";2
143;"007BBC1796239FF0E9C3507E864AA0E12F41F79A";"82cbfc464ed8d2bd0b91ffd1132022df16b7334d";"Wl/odzisl/aw Duch and Karol Grudzi nski and Grzegorz Stawski";"SYMBOLIC FEATURES IN NEURAL NETWORKS";"Department of Computer Methods, Nicolaus Copernicus University";"";"significantly better and they show similar trend, comparable to the other two classifiers, therefore they are not reported here. All data was taken from the UCI repository [8]. The <b>Australian Credit</b> dataset has 690 cases, each with 6 continuous and 8 symbolic values. There are 2 classes (majority rate is 55.5%), no missing values. 10-fold cross-validation test were run therefore the variance could be";3
14;"00CE503260103F3D176634B9F97342DB10E30A03";"3e78257004181e6dbbdfa3ec12399520412e9c5c";"Pedro Domingos";"Control-Sensitive Feature Selection for Lazy Learners";"Artif. Intell. Rev, 11";"1997";"used in the empirical study, in particular M. Zwitter and M. Soklic of the University Medical Centre, Ljubljana, for supplying the lymphography, <b>breast</b> <b>cancer</b> and primary tumor datasets, and Robert Detrano, of the V.A. Medical Center, Long Beach and Cleveland Clinic Foundation, for supplying the heart disease dataset. Please see the documentation in the UCI Repository for detailed";4
45;"00CE503260103F3D176634B9F97342DB10E30A03";"3e78257004181e6dbbdfa3ec12399520412e9c5c";"Pedro Domingos";"Control-Sensitive Feature Selection for Lazy Learners";"Artif. Intell. Rev, 11";"1997";"and Robert Detrano, of the V.A. Medical Center, Long Beach and Cleveland Clinic Foundation, for supplying the <b>heart</b> disease dataset. Please see the documentation in the UCI Repository for detailed information on all datasets. Appendix A This appendix describes how, for each one of P prototypes, the relevant features are chosen";5
63;"00CE503260103F3D176634B9F97342DB10E30A03";"3e78257004181e6dbbdfa3ec12399520412e9c5c";"Pedro Domingos";"Control-Sensitive Feature Selection for Lazy Learners";"Artif. Intell. Rev, 11";"1997";"used in the empirical study, in particular M. Zwitter and M. Soklic of the University Medical Centre, Ljubljana, for supplying the <b>lymphography</b>  breast cancer and primary tumor datasets, and Robert Detrano, of the V.A. Medical Center, Long Beach and Cleveland Clinic Foundation, for supplying the heart disease dataset. Please see the documentation in the UCI Repository for detailed";6
83;"00CE503260103F3D176634B9F97342DB10E30A03";"3e78257004181e6dbbdfa3ec12399520412e9c5c";"Pedro Domingos";"Control-Sensitive Feature Selection for Lazy Learners";"Artif. Intell. Rev, 11";"1997";"used in the empirical study, in particular M. Zwitter and M. Soklic of the University Medical Centre, Ljubljana, for supplying the lymphography, breast cancer and <b>primary</b> <b>tumor</b> datasets, and Robert Detrano, of the V.A. Medical Center, Long Beach and Cleveland Clinic Foundation, for supplying the heart disease dataset. Please see the documentation in the UCI Repository for detailed";7
52;"00D5BFDFF843700050588C025F7F5BDB6CE5E24A";"c5da3959b262c7f9f7d339d5a61d1af0ed0ee805";"Federico Divina and Elena Marchiori";"Knowledge-Based Evolutionary Search for Inductive Concept Learning";"Vrije Universiteit of Amsterdam";"";"found by ECL with the use of the EWUS operator are less simple that those found with the use of the other selection operators. In some cases, like in the <b>ionosphere</b>  the crx and the australian datasets, the difference is evident, while in other, e.g., in the glass2, the accidents and the congestions dataset, the simplicity obtained by the three methods is comparable. An explanation for this is";8
79;"00D5BFDFF843700050588C025F7F5BDB6CE5E24A";"c5da3959b262c7f9f7d339d5a61d1af0ed0ee805";"Federico Divina and Elena Marchiori";"Knowledge-Based Evolutionary Search for Inductive Concept Learning";"Vrije Universiteit of Amsterdam";"";"training examples. It can be seen that in most of the cases, the EWUS selection operator leads to a population characterized by a higher diversity. Only in two cases (the breast and the <b>pima</b> <b>indians</b> datasets) the population evolved with the use of the standard US operators has a higher diversity. However, also in these two cases, the diversity of the two populations are comparable. The WUS selection";9
23;"00FC9ADDA3A0484EF293231F4C3F8395DB067755";"5bc77452a8b6552aed91aa3294068d7110dc54af";"Russell Greiner and Wei Zhou";"Structural Extension to Logistic Regression: Discriminative Parameter Learning of Belief Net Classifiers";"AAAI/IAAI";"2002";"discretization [FI93]. Our accuracy values were based on 5-fold cross validation for small data, and holdout method for large data [Koh95]. See [GZ02],[FGG97] for more information about these datasets. We use the <b>CHESS</b> dataset (36 binary or ternary attributes) to illustrate the basic behaviour of the algorithms. Figure 2(a) shows the performance, on this dataset, of our NB+ELR (""Na¨iveBayes";10
